Major,MajorName,Campus,College,Major_Abbr,Pathway,deg_level,deg_type,DegreeLevelTypeDesc,deg_title,StartQtr,EndQtr,CIP_Code,Dept_Code,Department,dept_fas_org_code,Funding,OnlineOnly
1-A CMPT-00-00,Applied Computing (Bothell),Bothell     ,V - UW Bothell              ,A CMPT,00,0,0,No Degree Level,BACHELOR OF ARTS (APPLIED COMPUTING)                        ,2007 Autumn,No End Quarter,110101,0865,COMPUTING & SOFTWARE SYS,5500003000,Tuition Based,
1-A CMPT-00-11,Applied Computing (Bothell),Bothell     ,V - UW Bothell              ,A CMPT,00,1,1,Bachelor Of Arts,BACHELOR OF ARTS (APPLIED COMPUTING)                        ,2007 Autumn,No End Quarter,110101,0865,COMPUTING & SOFTWARE SYS,5500003000,Tuition Based,
1-B ACCT-00-26,Accounting (Bothell),Bothell     ,V - UW Bothell              ,B ACCT,00,2,6,Master Of Science In,MASTER OF SCIENCE IN ACCOUNTING                             ,2014 Autumn,No End Quarter,520304,0881,BUSINESS ADM - BOTHELL  ,5300001000,Continuum College Fee Based,
1-B AES-00-11,American and Ethnic Studies (Bothell),Bothell     ,V - UW Bothell              ,B AES ,00,1,1,Bachelor Of Arts,BACHELOR OF ARTS (AMERICAN AND ETHNIC STUDIES)              ,2014 Autumn,No End Quarter,050102,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-B BIO-00-15,Biology (Bothell Campus),Bothell     ,V - UW Bothell              ,B BIO ,00,1,5,Bachelor Of Science,BACHELOR OF SCIENCE (BIOLOGY)                               ,2018 Autumn,No End Quarter,260101,1091,BIOLOGICAL SCIENCE      ,5500002000,Tuition Based,
1-B BUS-00-00,Business Administration,Bothell     ,V - UW Bothell              ,B BUS ,00,0,0,No Degree Level,BACHELOR OF ARTS IN BUSINESS ADMINISTRATION                 ,1997 Autumn,No End Quarter,520201,0881,BUSINESS ADM - BOTHELL  ,5300001000,Tuition Based,
1-B BUS-00-00,Business Administration,Bothell     ,V - UW Bothell              ,B BUS ,00,0,0,No Degree Level,MASTER OF MANAGEMENT                                        ,1997 Autumn,No End Quarter,520201,0881,BUSINESS ADM - BOTHELL  ,5300001000,Tuition Based,
1-B BUS-00-00,Business Administration,Bothell     ,V - UW Bothell              ,B BUS ,00,0,0,No Degree Level,POST MASTER                                                 ,1997 Autumn,No End Quarter,520201,0881,BUSINESS ADM - BOTHELL  ,5300001000,Tuition Based,
1-B BUS-00-12,Business Administration,Bothell     ,V - UW Bothell              ,B BUS ,00,1,2,Bachelor Of Arts In,BACHELOR OF ARTS IN BUSINESS ADMINISTRATION                 ,1997 Autumn,No End Quarter,520201,0881,BUSINESS ADM - BOTHELL  ,5300001000,Tuition Based,
1-B BUS-00-27,Business Administration,Bothell     ,V - UW Bothell              ,B BUS ,00,2,7,Master Of,MASTER OF MANAGEMENT                                        ,1997 Autumn,No End Quarter,520201,0881,BUSINESS ADM - BOTHELL  ,5300001000,Tuition Based,
