,Major1,Ethnicity_Race,Y,N,Percent,Y(Campus),N(Campus),Percent(Campus),Ratio_in_Major_vs_Campus,CI95_low,CI95_high,Lower_Error,Upper_Error,"p (proportion test, two-sided)"
0,Nursing,AFRO-AM,25,150,14.286,536,5108,9.497,1.5042643923240937,1.0583428922671376,2.208202368024562,0.4459215000569561,0.7039379757004682,0.02368587087837387
1,Business (MBA),AFRO-AM,1,80,1.235,536,5108,9.497,0.12999815736134143,0.039631593046015864,0.9473359464687952,0.09036656431532557,0.8173377891074537,0.042684976777905406
2,Biology,AFRO-AM,15,167,8.242,536,5108,9.497,0.8678448417254386,0.5513183615155642,1.4484266796790588,0.3165264802098744,0.5805818379536202,0.6480451119845594
3,Psychology,AFRO-AM,13,161,7.471,536,5108,9.497,0.786712986790187,0.4845922928977929,1.3673181184160974,0.3021206938923941,0.5806051316259104,0.43674222102643334
4,Chemistry,AFRO-AM,0,40,0.0,536,5108,9.497,0.0,0.00829465160420377,2.042000512090187,0.00829465160420377,2.042000512090187,0.14658578616188112
5,Master of Policy Studies,AFRO-AM,0,11,0.0,536,5108,9.497,0.0,0.03051712083298922,6.882888347418221,0.03051712083298922,6.882888347418221,0.5724593322444947
6,Mathematics,AFRO-AM,5,71,6.579,536,5108,9.497,0.6927533385703063,0.3368661218381926,1.6990328108506045,0.3558872167321137,1.0062794722802981,0.4991091330860611
7,Mathematical Thinking and Visualization,AFRO-AM,13,59,18.056,536,5108,9.497,1.9012230514096184,1.20280075768818,3.1912455702171942,0.6984222937214384,1.2900225188075758,0.00689709963122272
8,Computing and Software Systems,AFRO-AM,31,687,4.318,536,5108,9.497,0.4546314389057498,0.32477999881669756,0.6551106937203673,0.12985144008905225,0.20047925481461754,1.5402239642194193e-05
9,Environmental Studies,AFRO-AM,0,22,0.0,536,5108,9.497,0.0,0.015137767937100149,3.6251001250762775,0.015137767937100149,3.6251001250762775,0.299055607845911
10,Accounting,AFRO-AM,3,19,13.636,536,5108,9.497,1.435888738127544,0.6230910080052456,4.300699865762835,0.8127977301222984,2.8648111276352903,0.3172790468306237
11,Master of Fine Arts in Creative Writing and Poetics,AFRO-AM,1,22,4.348,536,5108,9.497,0.4578195976638546,0.1426339184983467,3.165744952093986,0.3151856791655079,2.7079253544301314,0.6151665381103848
12,Physics,AFRO-AM,3,22,12.0,536,5108,9.497,1.2635820895522387,0.544132906452665,3.8342007286440016,0.7194491830995737,2.570618639091763,0.4603917554598035
13,Electrical Engineering,AFRO-AM,13,167,7.222,536,5108,9.497,0.7604892205638473,0.4681538999488877,1.3227995586896037,0.2923353206149596,0.5623103381257565,0.3658741536212464
14,Business,AFRO-AM,55,687,7.412,536,5108,9.497,0.7805145431870298,0.6030163825434085,1.025624664982625,0.17749816064362134,0.24511012179559521,0.07619205304094276
15,Education,AFRO-AM,10,158,5.952,536,5108,9.497,0.626776830135039,0.3630234128196304,1.1842182602021276,0.26375341731540863,0.5574414300670886,0.16169259623494459
