,Major1,Veteran,Y,N,Percent,Y(Campus),N(Campus),Percent(Campus),Ratio_in_Major_vs_Campus,CI95_low,CI95_high,Lower_Error,Upper_Error,"p (proportion test, two-sided)"
0,Nursing,ACTIVE DUTY,0,175,0.0,14,5630,0.248,0.0,0.06673451172032072,18.502098013546323,0.06673451172032072,18.502098013546323,0.9414324165798929
1,Business (MBA),ACTIVE DUTY,1,80,1.235,14,5630,0.248,4.977072310405643,1.3545833198581894,37.938922259578796,3.6224889905474535,32.96184994917315,0.02050606098863942
2,Biology,ACTIVE DUTY,0,182,0.0,14,5630,0.248,0.0,0.06416526830047076,17.795088153139304,0.06416526830047076,17.795088153139304,0.9631418281938633
3,Psychology,ACTIVE DUTY,0,174,0.0,14,5630,0.248,0.0,0.06711843898307324,18.607711664892676,0.06711843898307324,18.607711664892676,0.9382636311220114
4,Chemistry,ACTIVE DUTY,0,40,0.0,14,5630,0.248,0.0,0.29296150325274506,79.13864444857188,0.29296150325274506,79.13864444857188,0.27115202134788774
5,Master of Policy Studies,ACTIVE DUTY,0,11,0.0,14,5630,0.248,0.0,1.0770495554637816,266.94621201180826,1.0770495554637816,266.94621201180826,0.044141731352177326
6,Mathematics,ACTIVE DUTY,0,76,0.0,14,5630,0.248,0.0,0.15386929090711107,42.23227515551081,0.15386929090711107,42.23227515551081,0.5135669725580179
7,Mathematical Thinking and Visualization,ACTIVE DUTY,0,72,0.0,14,5630,0.248,0.0,0.16243865012772565,44.54031558529609,0.16243865012772565,44.54031558529609,0.4896236681687588
8,Computing and Software Systems,ACTIVE DUTY,1,717,0.139,14,5630,0.248,0.5614803024273777,0.15174550103441195,4.357586434388702,0.4097348013929657,3.7961061319613245,0.8091963717092543
9,Environmental Studies,ACTIVE DUTY,0,22,0.0,14,5630,0.248,0.0,0.5345326923681256,140.5247249332873,0.5345326923681256,140.5247249332873,0.12868825119914235
10,Accounting,ACTIVE DUTY,0,22,0.0,14,5630,0.248,0.0,0.5345326923681256,140.5247249332873,0.5345326923681256,140.5247249332873,0.12868825119914235
11,Master of Fine Arts in Creative Writing and Poetics,ACTIVE DUTY,1,22,4.348,14,5630,0.248,17.527950310559007,4.866360151442608,127.01050880694109,12.661590159116399,109.48255849638208,0.00011269044001693048
12,Physics,ACTIVE DUTY,0,25,0.0,14,5630,0.248,0.0,0.4699529693043043,124.44052503914038,0.4699529693043043,124.44052503914038,0.15289116144529732
13,Electrical Engineering,ACTIVE DUTY,1,179,0.556,14,5630,0.248,2.2396825396825397,0.6069149326814623,17.26352747584441,1.6327676070010773,15.023844936161868,0.16904290560513424
14,Business,ACTIVE DUTY,0,742,0.0,14,5630,0.248,0.0,0.015726902081539578,4.386250055111609,0.015726902081539578,4.386250055111609,0.3519973450773328
15,Education,ACTIVE DUTY,0,168,0.0,14,5630,0.248,0.0,0.06951808640857021,19.267611507528134,0.06951808640857021,19.267611507528134,0.918882976427827
16,All Majors,ACTIVE DUTY,14,5630,0.248,14,5630,0.248,1.0,0.4833802536595655,2.0687646887294635,0.5166197463404345,1.0687646887294635,1.0
17,Mechanical Engineering,ACTIVE DUTY,0,95,0.0,14,5630,0.248,0.0,0.12303783213744512,33.89035721815007,0.12303783213744512,33.89035721815007,0.6184077718557812
18,Nursing,CHILD,6,169,3.429,206,5438,3.65,0.9393619972260749,0.4706339921594126,2.1783348532266196,0.46872800506666235,1.2389728560005446,0.9746050351612447
19,Business (MBA),CHILD,1,80,1.235,206,5438,3.65,0.3382476327460146,0.10259496403197445,2.4701097868340107,0.23565266871404017,2.131862154087996,0.3977052692475731
20,Biology,CHILD,8,174,4.396,206,5438,3.65,1.2043102528539422,0.6515945677002261,2.487934089642207,0.5527156851537162,1.2836238367882649,0.47971983658020756
21,Psychology,CHILD,8,166,4.598,206,5438,3.65,1.2596808391920544,0.6819581996060871,2.600119013334169,0.5777226395859674,1.3404381741421147,0.40157898844041473
22,Chemistry,CHILD,1,39,2.5,206,5438,3.65,0.6849514563106797,0.20958883030015424,4.896305960554732,0.4753626260105254,4.211354504244052,0.9871600726183968
23,Master of Policy Studies,CHILD,1,10,9.091,206,5438,3.65,2.4907325684024713,0.7978020711800797,15.951510296808879,1.6929304972223915,13.460777728406407,0.09604215430908479
24,Mathematics,CHILD,4,72,5.263,206,5438,3.65,1.44200306591722,0.6498201200847168,3.9801316545466,0.7921829458325033,2.5381285886293803,0.30411988813555435
25,Mathematical Thinking and Visualization,CHILD,5,67,6.944,206,5438,3.65,1.9026429341963322,0.918563078387433,4.68266513447645,0.9840798558088992,2.7800222002801176,0.07916791303136692
26,Computing and Software Systems,CHILD,16,702,2.228,206,5438,3.65,0.6105416880763718,0.38252171489493464,1.0301879627811716,0.22801997318143713,0.41964627470479987,0.06543314377852422
27,Environmental Studies,CHILD,0,22,0.0,206,5438,3.65,0.0,0.039246730918574155,9.43789442910141,0.039246730918574155,9.43789442910141,0.7225600235094152
28,Accounting,CHILD,1,21,4.545,206,5438,3.65,1.2453662842012356,0.3865188179129267,8.601890165770431,0.858847466288309,7.356523881569196,0.4478767745119905
29,Master of Fine Arts in Creative Writing and Poetics,CHILD,0,23,0.0,206,5438,3.65,0.0,0.03752698368614649,9.048277235378094,0.03752698368614649,9.048277235378094,0.6995393887786838
30,Physics,CHILD,4,21,16.0,206,5438,3.65,4.383689320388349,2.0642017017272094,11.276082950825469,2.3194876186611397,6.89239363043712,0.00027999972133428735
31,Electrical Engineering,CHILD,8,172,4.444,206,5438,3.65,1.2176914778856527,0.6589291226691403,2.5150631592606154,0.5587623552165124,1.2973716813749627,0.4597943111205288
32,Business,CHILD,19,723,2.561,206,5438,3.65,0.70156752937482,0.45411888354241126,1.134898201469776,0.24744864583240878,0.4333306720949559,0.15607388328103605
33,Education,CHILD,13,155,7.738,206,5438,3.65,2.1200878409616273,1.2906282588166507,3.716486245064416,0.8294595821449766,1.5963984041027888,0.00366620271556805
